Location,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Registration_State,Driver_Age,Driver_Gender,License_Type,Penalty_Points,Weather_Condition,Road_Condition,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Previous_Violations,day_of_week,hour,Violation_Type
Delhi,Bus,White,2021,Tamil Nadu,66,Male,Heavy Vehicle,3,Cloudy,Wet,Valid,5,Yes,,Red,60,89,0.47,Not Conducted,Yes,2,0,23,Wrong Parking
Karnataka,Truck,Black,2009,West Bengal,66,Male,Commercial,5,Rainy,Wet,Suspended,1,,,Green,80,100,0.07,Negative,No,1,3,13,Over-speeding
West Bengal,Scooter,Silver,1999,Tamil Nadu,33,Female,Learner,5,Foggy,Under Construction,Valid,5,No,No,Green,50,120,0.02,Positive,Yes,4,1,0,Using Mobile Phone
Tamil Nadu,Truck,Green,2002,Uttar Pradesh,70,Male,Commercial,3,Clear,Under Construction,Suspended,3,Yes,,Red,60,82,0.02,Negative,Yes,0,4,17,Overloading
West Bengal,Bus,Yellow,2002,Karnataka,30,Female,Two-Wheeler,7,Cloudy,Dry,Suspended,5,No,,Red,40,83,0.36,Positive,Yes,2,1,23,Drunk Driving
Tamil Nadu,Truck,Yellow,2018,Maharashtra,18,Male,Commercial,3,Rainy,Dry,Valid,2,,,Red,40,94,0.4,Negative,No,0,0,14,Using Mobile Phone
West Bengal,Truck,Yellow,2015,Gujarat,60,Female,Two-Wheeler,0,Clear,Under Construction,Valid,3,,,Red,60,21,0.47,Negative,No,0,5,8,Using Mobile Phone
West Bengal,Car,Red,2019,Karnataka,56,Female,Four-Wheeler,7,Dust Storm,Wet,Suspended,2,No,Yes,Green,100,100,0.22,Not Conducted,No,0,6,4,No Helmet
Gujarat,Auto Rickshaw,Black,2001,West Bengal,52,Female,Heavy Vehicle,4,Clear,Potholes,Expired,2,No,No,Red,50,29,0.45,Not Conducted,Yes,5,3,10,Drunk Driving
Tamil Nadu,Scooter,White,2021,Karnataka,48,Female,Four-Wheeler,10,Cloudy,Slippery,Suspended,2,,Yes,Red,40,22,0.01,Positive,Yes,0,0,13,Overloading
Tamil Nadu,Auto Rickshaw,Black,2005,West Bengal,45,Female,Heavy Vehicle,4,Dust Storm,Wet,Expired,5,,Yes,Red,60,104,0.41,Positive,Yes,4,6,0,No Helmet
Delhi,Bus,Yellow,2020,Punjab,34,Female,Commercial,8,Foggy,Wet,Valid,5,,No,Green,100,113,0.18,Positive,Yes,4,6,9,Signal Jumping
