,precision,recall,f1-score,support
Driving Without License,0.13793103448275862,0.13333333333333333,0.13559322033898305,90.0
Drunk Driving,0.10752688172043011,0.10204081632653061,0.10471204188481675,98.0
No Helmet,0.14864864864864866,0.11956521739130435,0.13253012048192772,92.0
No Seatbelt,0.11,0.125,0.11702127659574468,88.0
Over-speeding,0.17204301075268819,0.17777777777777778,0.17486338797814208,90.0
Overloading,0.1038961038961039,0.1,0.10191082802547771,80.0
Signal Jumping,0.0898876404494382,0.0898876404494382,0.0898876404494382,89.0
Using Mobile Phone,0.07608695652173914,0.08536585365853659,0.08045977011494253,82.0
Wrong Parking,0.16842105263157894,0.17582417582417584,0.17204301075268819,91.0
accuracy,0.12375,0.12375,0.12375,0.12375
macro avg,0.12382681434482065,0.12319942386234407,0.12322458851357343,800.0
weighted avg,0.1245851358642658,0.12375,0.12387499955996789,800.0
