,precision,recall,f1-score,support
Driving Without License,0.13636363636363635,0.3,0.1875,90.0
Drunk Driving,0.1118421052631579,0.17346938775510204,0.136,98.0
No Helmet,0.1111111111111111,0.13043478260869565,0.12,92.0
No Seatbelt,0.16901408450704225,0.13636363636363635,0.1509433962264151,88.0
Over-speeding,0.14473684210526316,0.12222222222222222,0.13253012048192772,90.0
Overloading,0.04878048780487805,0.025,0.03305785123966942,80.0
Signal Jumping,0.19298245614035087,0.12359550561797752,0.1506849315068493,89.0
Using Mobile Phone,0.11904761904761904,0.06097560975609756,0.08064516129032258,82.0
Wrong Parking,0.05454545454545454,0.03296703296703297,0.0410958904109589,91.0
accuracy,0.125,0.125,0.125,0.125
macro avg,0.12093597743205702,0.12278090858786271,0.11471748346179367,800.0
weighted avg,0.1214480622290687,0.125,0.1160774324597311,800.0
