,precision,recall,f1-score,support
Driving Without License,0.102803738317757,0.12222222222222222,0.1116751269035533,90.0
Drunk Driving,0.12096774193548387,0.15306122448979592,0.13513513513513514,98.0
No Helmet,0.13392857142857142,0.16304347826086957,0.14705882352941177,92.0
No Seatbelt,0.1111111111111111,0.10227272727272728,0.10650887573964497,88.0
Over-speeding,0.18292682926829268,0.16666666666666666,0.1744186046511628,90.0
Overloading,0.07246376811594203,0.0625,0.06711409395973154,80.0
Signal Jumping,0.12195121951219512,0.11235955056179775,0.11695906432748537,89.0
Using Mobile Phone,0.11475409836065574,0.08536585365853659,0.0979020979020979,82.0
Wrong Parking,0.10975609756097561,0.0989010989010989,0.10404624277456648,91.0
accuracy,0.12,0.12,0.12,0.12
macro avg,0.1189625750678872,0.11848809133707944,0.11786867388030993,800.0
weighted avg,0.1196477463388894,0.12,0.1189606703441808,800.0
