,precision,recall,f1-score,support
Driving Without License,0.09615384615384616,0.1111111111111111,0.10309278350515463,90.0
Drunk Driving,0.13855421686746988,0.23469387755102042,0.17424242424242425,98.0
No Helmet,0.08264462809917356,0.10869565217391304,0.09389671361502347,92.0
No Seatbelt,0.08695652173913043,0.06818181818181818,0.07643312101910828,88.0
Over-speeding,0.0963855421686747,0.08888888888888889,0.09248554913294797,90.0
Overloading,0.09803921568627451,0.0625,0.07633587786259542,80.0
Signal Jumping,0.15,0.1348314606741573,0.14201183431952663,89.0
Using Mobile Phone,0.04,0.024390243902439025,0.030303030303030304,82.0
Wrong Parking,0.14473684210526316,0.12087912087912088,0.1317365269461078,91.0
accuracy,0.10875,0.10875,0.10875,0.10875
macro avg,0.1037189792022036,0.10601913037360765,0.10228198454954654,800.0
weighted avg,0.1047581597333591,0.10875,0.10407651966980039,800.0
