,precision,recall,f1-score,support
Driving Without License,0.15555555555555556,0.15555555555555556,0.15555555555555556,90.0
Drunk Driving,0.11029411764705882,0.15306122448979592,0.1282051282051282,98.0
No Helmet,0.125,0.14130434782608695,0.1326530612244898,92.0
No Seatbelt,0.11428571428571428,0.09090909090909091,0.10126582278481013,88.0
Over-speeding,0.0989010989010989,0.1,0.09944751381215469,90.0
Overloading,0.07547169811320754,0.05,0.06015037593984962,80.0
Signal Jumping,0.1411764705882353,0.1348314606741573,0.13793103448275862,89.0
Using Mobile Phone,0.125,0.0975609756097561,0.1095890410958904,82.0
Wrong Parking,0.14018691588785046,0.16483516483516483,0.15151515151515152,91.0
accuracy,0.1225,0.1225,0.1225,0.1225
macro avg,0.12065239677541342,0.12089531332217862,0.11959029829064319,800.0
weighted avg,0.12109564545607182,0.1225,0.12061490643351014,800.0
